(Joint) International Conference/Symposium on Logic Programming ,JICSLP/ICLP/ILPS ,CORE2013,A,No,
1st International Conference on Building Energy and Environment,COBEE,ERA2010,,No,1202
1st International Conference on Engineering Management,ICEM,ERA2010,,No,09
2008 International Conference on Biomedical Robotics and Biomechatronics,BIO ROB,ERA2010,B,No,0903
3-D Digital Imaging and Modelling,3DIM,CORE2013,C,No,0801
A Satellite workshop on Formal Approaches to Testing of Software,FATES,CORE2013,C,No,0802
AAEE - Annual Conference of Australasian Association for Engineering Education,,ERA2010,B,No,09
Accelerating excellence in the built environment World Conference,WCAEBE,ERA2010,C,No,1202
Accounting and Finance Association of Australia and New Zealand Conference,AFAANZ,CORE2013,Australasian,No,0806
"ACIS Conference on Software Engineering Research, Management and Applications",SERA,CORE2013,C,No,0803
ACM Annual Computer Science Conference,CSC,CORE2013,C,No,08
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,CORE2013,A*,Yes,0803
ACM Conference on Computer and Communications Security,CCS,CORE2013,A*,Yes,0803
ACM Conference on Computer Supported Cooperative Work,CSCW,CORE2013,A,No,0806
ACM Conference on Digital Libraries ,JCDL ,CORE2013,A*,No,
ACM Conference on Electronic Commerce,EC,CORE2013,B,Yes,0806
ACM Conference on Embedded Networked Sensor Systems,SENSYS,CORE2013,A*,Yes,1006
ACM Conference on Embedded Software,EMSOFT,CORE2013,A,No,1005
ACM Conference on Hypertext and Hypermedia,Hypertext,CORE2013,A,No,0805
ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,CORE2013,A*,Yes,0803
ACM Creativity and Cognition,CC,ERA2010,A,No,1203
ACM Digital Rights Management Workshop,DRM,CORE2013,C,No,0803
ACM Hypertext Conf,ACM-HT,CORE2013,A,No,
ACM Information Technology Education,SIGITE,CORE2013,C,No,08
ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,CORE2013,B,No,0806
"ACM International Conference on Digital Interactive Media in Entertainment and Arts (merged with ACE,  Advances in Computer Entertainment, in 2009)",DIMEA (ACE),CORE2013,B,No,1203
ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,CORE2013,A,No,0805
ACM International Conference on Information and Knowledge Management,CIKM,CORE2013,A,No,0806
ACM International Conference on Knowledge Discovery and Data Mining,SIGKDD,CORE2013,A*,Yes,0804
ACM International Conference on Mobile Computing and Networking,MOBICOM,CORE2013,A*,Yes,1006
ACM International Conference on Recommender Systems,RecSys,CORE2013,B,No,0806
ACM International Conference on Research and Development in Information Retrieval,SIGIR,CORE2013,A*,Yes,0806
ACM International Conference on Supercomputing,ICS,CORE2013,A,No,0805
ACM International Conference on Web Search and Data Mining,WSDM,CORE2013,B,No,0804
ACM International Symposium on Computer Architecture,ISCA,CORE2013,A*,Yes,0803
ACM International Symposium on High Performance Distributed Computing,HPDC,CORE2013,A,No,0805
ACM International Wireless Communications and Mobile Computing Conference,IWCMC,CORE2013,B,No,1006
ACM International Workshop On Multimedia Databases,MMDB,CORE2013,C,No,0804
ACM International Workshop on. Mobility Management and Wireless Access,MobiWac,ERA2010,B,No,1005
ACM Multimedia,ACMMM,CORE2013,A*,Yes,0803
ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH,CORE2013,A*,Yes,0801
ACM SIG on Computer and Communications Metrics and Performance,SIGMETRICS,CORE2013,A*,Yes,1006
ACM SIGCHI_NZ Conference on Human-Computer Interaction,CHINZ,CORE2013,C,No,0806
ACM SIGCOMM Internet Measurement Conference,ACM IMC,ERA2010,A,No,1005
ACM SIGGRAPH/Eurographics Symposium on Computer Animation,SCA,CORE2013,B,Yes,0801
ACM SIGIR Workshop on XML and Information Retrieval,SIGIR/XML,CORE2013,C,No,0804
ACM SIGMM International Workshop on Multimedia Information Retrieval,MIR,CORE2013,B,Yes,0804
"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",Mobisys,CORE2013,B,Yes,0805
ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,PODS,CORE2013,A*,Yes,0804
ACM SIGOPS European Workshops,SIGOPS-EW,ERA2010,C,Yes,0803
ACM SIGOPS Symposium on Operating Systems Principles,SOSP,CORE2013,A*,Yes,0803
"ACM SIGPLAN Conference on Languages, Tools, and Compilers for Embedded Systems",LCTES,CORE2013,A,No,1005
ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,PEPM,CORE2013,B,Yes,0803
ACM SIGPLAN Workshop on Types in Language Design and Implementation (was TIC),TLDI,CORE2013,C,No,0803
ACM SIGSOFT International Symposium on the Foundations of Software Engineering,FSE,CORE2013,A,No,0803
ACM SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,PASTE,CORE2013,B,No,0803
ACM SIGUCCS Conference on User Services,SIGUCCS,CORE2013,C,No,0899
ACM Special Interest Group on Computer Science Education Conference,SIGCSE,CORE2013,A,No,0899
ACM Special Interest Group on Management of Data Conference,SIGMOD,CORE2013,A*,Yes,0804
ACM Special Interest Group on Supporting Group Work (was SIGGRoup),Group,CORE2013,B,Yes,0806
ACM Symposium of Mobile and Ad Hoc Computing,MOBIHOC,CORE2013,A,No,0804
ACM Symposium on Applied Computing,SAC,CORE2013,B,No,0804
ACM Symposium on Computational Geometry,SCG,CORE2013,A,No,0802
ACM Symposium on Document Engineering,DocEng,CORE2013,A,No,
"ACM Symposium on Information, Computer and Communications Security",AsiaCCS,CORE2013,B,No,0803
ACM Symposium on Principles of Database Systems,SPDS,CORE2013,C,No,0804
ACM Symposium on Principles of Distributed Computing,PODC,CORE2013,A*,Yes,0805
ACM Symposium on Software Reusability ,SSR,CORE2013,A,No,
ACM Symposium on Solid and Physical Modelling,SPM,CORE2013,B,No,0802
ACM Symposium on Theory of Computing,STOC,CORE2013,A*,Yes,0802
ACM Symposium on User Interface Software and Technology,UIST,CORE2013,A,No,0806
ACM Virtual Reality Software and Technology,VRST,CORE2013,A,No,0801
ACM Workshop on Formal Methods in Security Engineering: From Specifications to Code,FMSE,CORE2013,C,No,0803
ACM Workshop on Hot Topics in Networks,HOTNETS,CORE2013,A,No,1005
ACM Workshop on Hot Topics in Software Upgrades,HotSWUp,CORE2013,C,No,0803
ACM Workshop on Role Based Access Control (now SACMAT),RBAC,CORE2013,C,No,0802
ACM Workshop on Scalable Trusted Computing,STC,CORE2013,B,No,0803
ACM Workshop on Secure Web Services,SWS,CORE2013,C,No,0801
ACM Workshop on Web Information and Data Management,WIDM,CORE2013,B,Yes,0806
ACM-SIGACT Symposium on Principles of Programming Languages,POPL,CORE2013,A*,Yes,0803
ACM-SIGMIS CPR Conference,ACM-SIGMIS CPR,CORE2013,B,No,0806
